gene,ind1lower,ind1upper,ind2lower,ind2upper,ind3lower,ind3upper,ind4lower,ind4upper,ind5lower,ind5upper,ind6lower,ind6upper,ind7lower,ind7upper,ind8lower,ind8upper
0610007P14Rik,1721,1846,1708,1877,1443,1534,1389,1439,1699,1881,1697,1716,1531,1625,1716,1373
0610009B22Rik,512,466,554,504,501,498,478,427,569,614,577,568,587,531,611,453
0610009L18Rik,68,71,121,129,74,124,83,87,86,125,99,135,130,132,114,92
0610009O20Rik,2583,2797,2840,2975,2675,2690,2429,2313,2693,3093,2854,3066,2487,2904,2713,2455
0610010F05Rik,1079,1246,1262,992,1232,992,1011,977,1175,1384,1235,1221,1042,998,1079,882
0610010K14Rik,1533,1666,1635,1561,1517,1454,1398,1311,1461,1747,1571,1798,1494,1530,1616,1371
0610011F06Rik,645,748,798,839,784,710,704,577,717,777,683,767,687,764,728,680
0610012G03Rik,957,946,971,1045,959,905,900,854,894,1094,1010,993,957,963,877,858
0610030E20Rik,2228,2342,2720,2430,2424,2440,2192,2264,2412,2978,2612,2838,2422,2820,2590,2368
0610037L13Rik,2205,2095,2675,2448,2296,2418,2010,2159,2066,2443,2374,2393,2282,2403,2361,2213
0610040J01Rik,71,56,86,124,88,115,91,101,69,82,102,113,62,81,97,86
1110001J03Rik,338,291,402,318,350,318,305,259,323,354,330,385,348,364,335,287
1110002E22Rik,40,54,26,51,37,43,20,73,36,48,22,55,28,61,35,42
1110004E09Rik,555,597,645,570,492,519,538,438,598,644,609,630,572,621,531,488
1110004F10Rik,4556,4652,5399,4925,4643,4037,4350,4001,4997,5969,5329,5317,4565,4739,4589,4212
1110008F13Rik,2059,2122,2306,1985,1908,1745,1867,1727,2343,2716,2272,2339,2044,2038,2318,2011
1110008L16Rik,667,614,732,683,685,640,662,584,729,812,788,797,618,698,591,602
1110008P14Rik,367,367,401,422,369,378,416,434,464,534,576,560,589,508,535,457
1110012L19Rik,586,586,605,611,550,578,551,495,495,645,557,613,584,564,501,512
1110017D15Rik,15,10,13,14,9,14,9,14,16,13,16,17,7,18,16,11
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,400,457,572,530,409,511,424,449,449,485,489,548,468,467,395,412
